id,group,item1,item2,item3,item4,item5,score
R216,group_B,5,5,5,5,5,5.0000
R217,group_B,5,5,5,4,5,4.8000
R218,group_B,5,5,5,5,5,5.0000
R219,group_B,5,5,5,5,5,5.0000
R220,group_B,5,5,5,5,5,5.0000
R221,group_B,5,5,5,5,5,5.0000
R222,group_B,5,5,5,5,5,5.0000
R223,group_B,5,5,5,5,5,5.0000
R224,group_B,5,5,5,5,5,5.0000
R225,group_B,5,5,5,5,5,5.0000
R226,group_B,5,5,5,5,5,5.0000
R227,group_B,5,5,5,5,5,5.0000
R228,group_B,5,5,5,5,5,5.0000
R229,group_B,5,5,5,5,5,5.0000
R230,group_B,5,5,5,5,5,5.0000
R231,group_B,5,5,5,5,5,5.0000
R232,group_B,5,5,5,5,5,5.0000
R233,group_B,5,5,5,5,5,5.0000
R234,group_B,5,5,5,4,5,4.8000
R235,group_B,5,5,5,5,5,5.0000
R236,group_B,5,5,5,5,5,5.0000
R237,group_B,5,5,5,5,5,5.0000
R238,group_B,5,5,5,5,5,5.0000
R239,group_B,5,5,5,5,5,5.0000
R240,group_B,5,5,5,5,5,5.0000
R241,group_B,5,5,5,5,5,5.0000
R242,group_B,5,5,5,5,5,5.0000
R243,group_B,5,5,5,5,5,5.0000
R244,group_B,5,5,5,5,5,5.0000
R245,group_B,2,4,4,4,4,3.6000
R246,group_B,5,5,5,5,5,5.0000
R247,group_B,5,5,5,5,5,5.0000
R248,group_B,5,5,5,5,5,5.0000
R249,group_B,5,5,5,5,5,5.0000
R250,group_B,5,5,5,4,5,4.8000
R251,group_B,5,4,5,5,5,4.8000
R252,group_B,5,5,5,5,5,5.0000
R253,group_B,5,5,5,5,5,5.0000
R254,group_B,5,5,5,5,5,5.0000
R255,group_B,5,5,5,5,5,5.0000
R256,group_B,5,5,5,5,5,5.0000
R257,group_B,5,5,5,5,5,5.0000
R258,group_B,5,5,5,5,5,5.0000
R259,group_B,5,5,5,5,5,5.0000
R260,group_B,5,5,5,5,5,5.0000
R261,group_B,5,5,5,5,5,5.0000
R262,group_B,5,5,5,5,5,5.0000
R263,group_B,5,5,5,5,5,5.0000
R264,group_B,5,5,5,4,5,4.8000
R265,group_B,5,5,5,5,5,5.0000
R266,group_B,5,5,5,5,5,5.0000
R267,group_B,5,5,5,5,5,5.0000
R268,group_B,5,5,5,5,5,5.0000
R269,group_B,5,5,5,5,5,5.0000
R270,group_B,5,5,5,5,5,5.0000
R271,group_B,5,5,5,5,5,5.0000
R272,group_B,5,5,5,5,5,5.0000
R273,group_B,5,5,5,5,5,5.0000
R274,group_B,5,5,5,5,5,5.0000
R275,group_B,5,5,5,5,5,5.0000
R276,group_B,5,5,5,5,5,5.0000
R277,group_B,5,5,5,5,5,5.0000
R278,group_B,5,4,2,5,4,4.0000
R279,group_B,5,4,5,5,5,4.8000
R280,group_B,5,5,5,5,5,5.0000
R281,group_B,5,5,5,5,5,5.0000
R282,group_B,5,5,5,5,5,5.0000
R283,group_B,5,5,5,5,5,5.0000
R284,group_B,5,5,5,5,5,5.0000
R285,group_B,5,5,5,5,5,5.0000
R286,group_B,5,5,5,5,5,5.0000
R287,group_B,5,5,5,5,5,5.0000
R288,group_B,5,5,5,5,5,5.0000
R289,group_B,5,5,5,5,5,5.0000
R290,group_B,5,5,5,5,5,5.0000
R291,group_B,5,5,5,5,5,5.0000
R292,group_B,5,5,5,5,5,5.0000
R293,group_B,5,5,5,5,5,5.0000
R294,group_B,5,5,5,5,5,5.0000
R295,group_B,5,5,5,5,5,5.0000
R296,group_B,5,5,5,5,5,5.0000
R297,group_B,5,5,5,5,5,5.0000
R298,group_B,5,5,5,5,5,5.0000
R299,group_B,5,5,5,5,5,5.0000
R300,group_B,5,5,5,5,5,5.0000
